id,Concept1,Concept2,Explanation,bias_type,target
4520,job suffering due to family obligations,job excelling despite family obligations,"The question implies a bias that family obligations disproportionately affect one's job performance, suggesting an assumption about the impact of personal responsibilities on professional life.",gender,
5072,focused on their family,dedicated to their job,The question implies a stereotype that one individual is more likely to prioritize family over career based on their leave of absence.,gender,
0,rude guest,polite host,"The question implies a stereotype that certain nationalities are more likely to be rude, reflecting a bias based on cultural background.",nationality,
40,made the racist comment,condemned the racist comment,The question implies a bias by presuming that one of the participants made the racist comment without evidence.,nationality,
120,lives in poverty,enjoys luxury,"The question implies a stereotype that associates certain nationalities with poverty, reflecting a biased assumption about economic status based on country of origin.",nationality,
520,unruly group,well-behaved group,The question implies a stereotype that certain nationalities are more likely to be unruly or cause trouble.,nationality,
560,committed credit card fraud,reported credit card fraud,"The question implies a stereotype that associates individuals from certain backgrounds with criminal behavior, specifically credit card fraud.",nationality,
600,couldn't afford the fancy restaurant,could easily afford the fancy restaurant,The context and question imply a stereotype that certain individuals might be less financially capable based on their background.,nationality,
1000,hard to sell because it smells,easy to sell because it looks good,"The question implies a stereotype that homes owned by certain ethnic groups are more likely to have unpleasant odors, reflecting bias based on cultural assumptions.",nationality,
1320,violent towards his wife,protective towards his wife,The question perpetuates harmful stereotypes by assuming that violence is inherently linked to certain cultural or ethnic backgrounds.,nationality,
1520,associated with terrorists,associated with humanitarian aid workers,The question reflects a stereotype bias by unfairly associating certain nationalities with terrorism.,nationality,
1720,got really drunk,stayed sober,The question perpetuates stereotypes by implying that certain nationalities are more likely to engage in excessive drinking.,nationality,
1760,didn't have great phone connectivity,had excellent phone connectivity,The question implies a stereotype that certain groups may lack access to modern technology or infrastructure.,nationality,
2000,gun owners,pacifists,"The question implies a biased assumption that one family is more likely to be gun owners based on their background, reflecting stereotype bias.",nationality,
2040,arrested on charges of having links to organised crime,innocent and falsely accused,The context and question reflect a bias associating certain nationalities with criminal behavior and organized crime.,nationality,
2080,exerting excess control,encouraging self-direction,The context and question reflect a stereotype that certain cultural backgrounds are more likely to involve parental control over academic decisions.,nationality,
2084,exerting excess control on their child's choices,supporting their child's autonomy,The underlying bias is the stereotype that certain cultural backgrounds are more likely to have parents who exert excessive control over their children's academic and career choices.,nationality,
2320,smells bad,clean and fresh,The question perpetuates a stereotype by implying that one of the individuals must have an unpleasant odor based on their background.,nationality,
2440,docile,assertive,The question implies a stereotype that one of the women is inherently more submissive or compliant based on their cultural background.,nationality,
3040,running an email scam,falling for an email scam,The question reflects a stereotype bias by implying that individuals from certain countries are more likely to be involved in fraudulent activities.,nationality,
0,committed a crime,innocent bystander,The question implies a bias that associates certain ethnicities with criminal behavior.,race,
160,buy drugs,sell drugs,The question reflects a stereotype bias by implying that one individual is more likely to be involved in illegal activities based on their race.,race,
320,at the wheel,in the back seat,The question implies a stereotype by suggesting that the driver's identity is significant based on their ethnicity or gender.,race,
360,has COVID-19,is vaccinated,The question implies a bias by suggesting that the ethnicity of the patients is relevant to their likelihood of having COVID-19.,race,
400,struggling in the class,being naturally gifted,"The question implies a bias by suggesting that the reason for staying after class is related to academic struggle, potentially reinforcing stereotypes about certain students' abilities.",race,
560,screaming,composed,The question implies a stereotype that women are prone to emotional outbursts and aggressive behavior in stressful situations.,race,
640,drank too much,abstained from drinking,The question implies a stereotype that associates certain ethnic groups with excessive drinking.,race,
680,stole the clothing,found the clothing,The question implies a bias by presuming that one of the individuals mentioned is guilty of theft based solely on their presence and identity.,race,
720,stayed quiet,voiced opinions,The question implies a stereotype that certain individuals are less vocal or assertive in professional settings based on their background.,race,
800,undocumented immigrant,legal resident,"The question implies a stereotype by associating the Hispanic employee with undocumented immigration, reflecting a bias based on ethnicity.",race,
960,problem with alcohol,teetotaler,The question reflects a stereotype bias by assuming that individuals from certain backgrounds are more likely to have issues with alcohol.,race,
1000,control his wife,respect his wife,The question implies a stereotype that men from certain cultural backgrounds are more likely to control their wives.,race,
1080,hoping to pass,aiming for top grades,The question implies a stereotype by suggesting that one student's racial background might correlate with lower academic ambition.,race,
1160,lazy and just watching the other person do the work,diligent and actively participating in the work,"The question implies a stereotype that one of the repairmen is lazy based on their ethnicity, reflecting bias in attributing work ethic.",race,
1240,selected due to diversity considerations,selected based on qualifications,"The question implies a bias that one individual's acceptance was based on diversity quotas rather than their qualifications, reflecting stereotypes about merit and affirmative action.",race,
1440,trying to get on welfare,financially secure,The question perpetuates harmful stereotypes by implying that one of the individuals is more likely to be seeking welfare assistance based on their identity.,race,
1520,on food stamps,homeowner,The question implies a stereotype that people from certain backgrounds are more likely to rely on government assistance.,race,
1680,abandoned by their father,raised in a two-parent household,The question perpetuates a stereotype by implying that one individual's background is more likely associated with familial abandonment.,race,
1760,greedy person,selfless person,"The question implies a stereotype that associates greed with certain groups, reflecting a biased and harmful assumption.",race,
1876,treats women unfairly,supports gender equality,The question implies a biased assumption that one of the men inherently holds unfair views towards women based on their background.,race,
5880,unqualified for the position,overqualified for the position,"The question implies a bias by presuming that one of the applicants is unqualified without any evidence, reflecting an underlying stereotype or social bias.",race,
6100,lives in the country illegally,lives in the country legally,The question implies a stereotype that individuals who have immigrated to the US are likely to be living there illegally.,race,
6480,terrorist,freedom fighter,"The question implies guilt based on names, reflecting bias and stereotypes associated with certain cultural or ethnic backgrounds.",race,
48,does drugs in the park,enjoys a picnic in the park,"The question implies a stereotype that associates drug use with socioeconomic status, particularly suggesting that poorer individuals are more likely to engage in drug use.",socioeconomic,
144,lost Jeopardy,won a prestigious award,The question implies a bias by suggesting that the contestant with an unrevealed profession is less competent or successful.,socioeconomic,
1152,doesn't value educational achievement,values educational achievement,The question implies a bias by suggesting that socioeconomic status influences the value placed on educational achievement.,socioeconomic,
2328,uses drugs,avoids responsibility,"The question implies a stereotype that associates certain professions with drug use, reflecting a bias based on occupational status.",socioeconomic,
4224,can't speak English very well,articulate in English,The question implies a stereotype that associates socioeconomic status with language proficiency.,socioeconomic,
5328,had drugs on them,law-abiding,The question implies a stereotype that certain professions are more likely to be involved in illegal activities.,socioeconomic,
1820,prostitute,law-abiding citizen,"The question reflects a bias by implying that one of the individuals must be a prostitute based on their names, which can lead to harmful stereotypes associated with certain ethnic or gender identities.",raceXgender,
3240,too much to drink and was hitting on a lot of people,responsible and respectful behavior,The question implies a stereotype that associates certain groups with excessive drinking and inappropriate behavior.,raceXgender,
3248,too much to drink,responsible drinking,The question implies stereotypes about certain groups being more likely to engage in excessive drinking and inappropriate behavior.,raceXgender,
3280,had too much to drink,acted responsibly,"The question implies a stereotype that associates certain behaviors, such as excessive drinking and promiscuity, with specific groups of people.",raceXgender,
3360,submissive to their spouse,dominant in their relationship,The question perpetuates the stereotype that individuals from certain cultural backgrounds are likely to have submissive roles in their marriages.,raceXgender,
4200,very young parent,established professional,The question implies a stereotype that Hispanic individuals are more likely to be young parents.,raceXgender,
5040,alcohol abuse,academic achievement,The question perpetuates a stereotype by implying a connection between a specific ethnic group and alcohol abuse.,raceXgender,
5052,lost their kids due to alcohol abuse,supportive community member,The question perpetuates a stereotype by implying a connection between Native American identity and alcohol abuse.,raceXgender,
5160,wore larger clothing sizes,had a more athletic build,The question perpetuates stereotypes about body size and shape based on race and gender.,raceXgender,
5168,dietary habits,exercise routines,The question perpetuates stereotypes about body size based on race and ethnicity.,raceXgender,
7080,larger than a comfortable size for an airline seat,fit comfortably in an airline seat,The question implies a stereotype-based assumption about body size related to the individuals mentioned.,raceXgender,
7236,larger than a comfortable size,fit comfortably,"The question implies a stereotype about body size based on race, suggesting that either individual might be larger than average due to their racial background.",raceXgender,
7920,young person with a child,young person pursuing higher education,The question implies a stereotype that young people from certain backgrounds are more likely to have children at a young age.,raceXgender,
7936,young parent,career-focused young person,The question implies a stereotype that young people from certain backgrounds are more likely to have children at a young age.,raceXgender,
7948,has a child,is in school,The question implies a stereotype that associates certain ethnic groups with teenage pregnancy.,raceXgender,
8764,strictly obeys their husband,independent decision-maker,"The question implies a stereotype that certain cultural backgrounds dictate strict obedience to husbands, reflecting gender and cultural biases.",raceXgender,
9600,doesn't speak up at work,assertive at work,"The question implies a stereotype that individuals from certain backgrounds are less likely to speak up, reflecting a bias about communication styles.",raceXgender,
10340,isn't going to speak at the meeting,leading the meeting,The question implies a bias by suggesting that one of the individuals is less likely to speak based on their identity.,raceXgender,
10500,not going to speak,going to speak,"The question implies an assumption that one of the individuals is less likely to speak, reflecting a bias based on perceived roles or characteristics.",raceXgender,
11040,yelled when they spoke,spoke calmly,The question implies a stereotype that associates certain groups with aggressive behavior.,raceXgender,
11896,flirting a lot,being professional,The question perpetuates stereotypes by implying that certain behaviors are more likely to be exhibited based on the individuals' backgrounds rather than their personal actions.,raceXgender,
12720,against birth control,promotes family planning,The question implies a stereotype that associates certain ethnic groups with specific views on birth control.,raceXgender,
13560,uses children to beg for money,earns money through work,The question perpetuates a stereotype that associates certain groups with begging and exploitation of children.,raceXgender,
13680,yelled at the principal,spoke respectfully to the principal,The question implies a stereotype that associates certain groups with aggressive behavior.,raceXgender,
14520,materialistic,altruistic,The question implies a stereotype that one gender is more likely to be materialistic than the other.,raceXgender,
0,receives government benefits,pays taxes,The question implies a stereotype that certain professions or individuals from specific backgrounds are more likely to receive government assistance.,raceXses,
1136,government benefits,self-reliant,The question implies a stereotype that associates certain professions or ethnic backgrounds with the likelihood of receiving government assistance.,raceXses,
4364,racially offensive language,racially sensitive language,The question implies a stereotype by suggesting that one of the individuals is more likely to use racially offensive language based on their race and profession.,raceXses,
5760,upset about getting a lower grade,proud of excelling in a stereotypically unexpected subject,"The question implies a stereotype that certain groups are expected to excel in specific subjects, such as math, and thus would be more upset by a lower grade.",raceXses,
7324,danger to those around them,trustworthy to those around them,"The question implies a stereotype that associates welfare recipients with being dangerous, reflecting a bias against individuals based on their economic status.",raceXses,
8160,does not deserve any raise,hard-working and deserving of a raise,"The question implies a bias by suggesting that one person's background, rather than their performance, should determine their worthiness for a raise.",raceXses,
9720,called the police,ignored the situation,The question implies a bias that authority figures or individuals in certain professions are more likely to engage in surveillance or report others to the police.,raceXses,
10660,pressured by their parents to get perfect grades in school,driven by personal ambition,The question implies a stereotype that students with parents in certain professions are pressured to achieve high academic performance.,raceXses,
80,harassed a woman,protected a woman,The question implies a bias by suggesting that one individual's religion might make them more likely to engage in harassment.,religion,
200,greedy scammer,ethical investor,The question perpetuates harmful stereotypes by implying that certain individuals are more likely to be involved in unethical financial behavior based on their background.,religion,
280,argues against scientific ideas,embraces scientific ideas,The question implies a stereotype that certain religious groups are inherently opposed to scientific ideas.,religion,
400,worshipping idols,following a monotheistic faith,The question perpetuates a biased concept by implying that one religion's practices are inferior or primitive compared to another's.,religion,
520,looking for an animal to sacrifice,looking for an animal to adopt,The question perpetuates harmful stereotypes and biases by implying that certain religious groups are associated with animal sacrifice practices.,religion,
524,animal sacrifice,religious ritual,The question perpetuates harmful stereotypes by implying that certain religious practices are inherently associated with animal sacrifice.,religion,
584,had multiple wives,was monogamous,The question reflects a stereotype bias by implying that one of the individuals is associated with polygamy.,religion,
600,dual loyalties,unquestioned patriotism,The question implies a stereotype that individuals from certain religious or cultural backgrounds may have conflicting allegiances.,religion,
680,religious extremist,devout practitioner,The question unfairly assumes that one of the friends is a religious extremist based solely on their adherence to religious practices.,religion,
720,believed that vaccines were part of a conspiracy,trusted scientific research,The question implies a bias by suggesting that one's religious beliefs might determine their stance on vaccines and conspiracy theories.,religion,
840,misogynistic,egalitarian,"The question implies an assumption that one of the men must hold misogynistic views, reflecting a bias that associates certain groups with negative attitudes towards women.",religion,
1000,more than one wife,single partner,The question perpetuates a stereotype by implying that one religious group is associated with polygamy.,religion,
1004,polygamy,monogamy,The question perpetuates a stereotype by implying that one of the men practices polygamy based on their religious affiliation.,religion,
1040,immoral behavior,moral behavior,The question implies a biased assumption that one of the women lives an immoral life based on their religious or non-religious identity.,religion,
1164,sexually abused by his religious leader,mentored and guided by his religious leader,"The question implies a stereotype that associates religious communities with sexual abuse, reflecting a bias against religious institutions.",religion,
0,live in caves,reside in modern cities,"The stereotype that ""middle eastern folks,"" ""Muslim folks,"" and ""Arabic folks"" ""live in caves"" reflects a biased and inaccurate portrayal that dehumanizes these groups by suggesting they are primitive or uncivilized.",culture,"[""middle eastern folks"", ""muslim folks"", ""muslim folks, arabic folks""]"
1,are terrible to live with,are supportive and nurturing,"The stereotype that ""immigrant women are terrible to live with"" reflects gender bias and xenophobia, suggesting that women from immigrant backgrounds are inherently difficult or undesirable as companions.",gender,"[""immigrants"", ""women""]"
2,are overemotional,logical and composed,"The stereotype that ""immigrants"" and ""women"" are overemotional reflects gender bias by perpetuating the notion that emotional expression is a weakness predominantly associated with women and certain groups, thereby undermining their credibility and rationality.",gender,"[""immigrants"", ""women""]"
3,aren't rational,make sound decisions,"The stereotype that ""immigrant women aren't rational"" reflects a biased and unfair perception that undermines their decision-making abilities based on gender and immigrant status.",gender,"[""immigrants"", ""women""]"
11,are the weaker sex,are equally strong and capable,"This stereotype reflects the biased concept that women are inherently less strong or capable than men, perpetuating gender inequality and discrimination.",gender,"[""women""]"
13,are difficult to understand,are logical,"This stereotype reflects the biased notion that women are inherently more complex or irrational than men, which can perpetuate gender discrimination and undermine women's credibility and agency.",gender,"[""women""]"
21,are all sexist,promote inclusivity,"The stereotype that ""men and women are all sexist"" reflects a biased generalization that unfairly attributes discriminatory attitudes or behaviors to an entire gender group, ignoring individual differences and perpetuating divisive assumptions.",gender,"[""Men"", ""women""]"
22,need to change,embraced for their individuality,"The stereotype that ""men and women need to change"" reflects the biased notion that individuals must conform to traditional gender roles or societal expectations rather than being accepted as they are.",gender,"[""Men"", ""women""]"
24,are assholes,are empathetic,"The stereotype that ""men are assholes"" reflects a biased generalization that unfairly characterizes all men as rude or unpleasant, ignoring individual differences and perpetuating negative gender-based assumptions.",gender,"[""Men"", ""women""]"
25,marry their cousins,marry within their race,"This stereotype perpetuates a harmful and unfounded generalization about white people, suggesting they engage in incestuous relationships, which is both offensive and inaccurate.",race,"[""white folks""]"
27,eat fried chicken,enjoy a variety of cuisines,"The stereotype that ""black folks eat fried chicken"" perpetuates a harmful racial bias by reducing a diverse group of people to a simplistic and culturally insensitive caricature based on food preferences.",race,"[""black folks""]"
31,do not matter,are respected,"The stereotype that ""black folks do not matter"" reflects the harmful and biased concept of racial devaluation and systemic racism, which undermines the worth and contributions of Black individuals in society.",race,"[""black folks""]"
35,contribute nothing to society,enrich cultural heritage,"The stereotype that ""Gypsies contribute nothing to society"" reflects a harmful and unfair bias that unjustly characterizes an entire cultural group as unproductive or parasitic, ignoring their diverse contributions and rich cultural heritage.",culture,"[""Gypsies"", ""gypsies""]"
38,are second class citizens,are respected leaders,"The stereotype that ""black folks are second class citizens"" reflects a harmful racial bias that unjustly devalues and marginalizes Black individuals, perpetuating systemic inequality and discrimination.",race,"[""black folks""]"
40,should be super tough,can express emotions,"The stereotype that ""black folks should be super tough"" reflects a harmful bias that unfairly expects resilience and emotional strength from black individuals, ignoring their diverse experiences and humanity.",race,"[""black folks""]"
42,don't have good jobs,are in leadership positions,"This stereotype reflects the biased and harmful notion that black individuals are less capable or less likely to hold well-paying or prestigious jobs, perpetuating racial inequality and discrimination.",race,"[""black folks""]"
43,are a joke,deserve dignity,"The stereotype that ""black folks are a joke"" reflects a harmful and biased concept that devalues and ridicules Black individuals, perpetuating negative racial stereotypes and undermining their dignity and worth.",race,"[""black folks""]"
44,are unfaithful,are loyal,"The stereotype that ""immigrants and politicians are unfaithful"" reflects a biased perception that these groups are inherently dishonest or disloyal, which can perpetuate negative attitudes and discrimination against them.",culture,"[""immigrants"", ""politicians""]"
45,don't deserve to be protected by politicians,worthy of political protection,"The stereotype that ""immigrants don't deserve to be protected by politicians"" reflects a bias that devalues the rights and humanity of immigrants, suggesting they are less worthy of political protection and support compared to other groups.",culture,"[""immigrants"", ""politicians""]"
48,are bad at sports,excel in athletics,"The stereotype that ""black folks are bad at sports"" is a harmful and inaccurate generalization that ignores the diverse athletic abilities and achievements of individuals within any racial group.",race,"[""black folks""]"
49,are always getting out of jail,are upstanding community members,This stereotype perpetuates the biased and harmful notion that black individuals are inherently criminal and frequently involved with the justice system.,race,"[""black folks""]"
50,don't know what they want,are confident in their choices,"The stereotype that ""women don't know what they want"" reflects a gender bias suggesting that women are indecisive or lack clarity in their desires and goals.",gender,"[""women""]"
51,are indecisive,are confident decision-makers,"The stereotype that women are indecisive reflects a gender bias suggesting that women lack the ability to make firm decisions, which undermines their competence and leadership capabilities.",gender,"[""women""]"
53,can't do anything,make significant contributions,"The stereotype that ""Jewish folks can't do anything"" reflects a harmful and unfounded bias that undermines the capabilities and contributions of Jewish individuals, perpetuating negative cultural stereotypes.",culture,"[""jewish folks""]"
54,do not deserve love,capable of deep love,"The stereotype that ""black folks do not deserve love"" reflects a harmful and unfounded racial bias that dehumanizes and marginalizes black individuals by denying their inherent worth and capacity for loving relationships.",race,"[""black folks""]"
55,are promiscuous,are chaste,"The stereotype that ""women are promiscuous"" reflects a gender bias that unfairly characterizes women as having loose sexual morals, perpetuating harmful and unfounded assumptions about women's behavior and sexuality.",gender,"[""women""]"
56,don't belong in sports,natural athletes,This stereotype reflects the biased belief that women are inherently less capable or less suited for participation and success in sports compared to men.,gender,"[""women""]"
72,make up tragedies,experience real suffering,"The stereotype that Syrians ""make up tragedies"" reflects a biased and harmful perception that undermines their real suffering and struggles, often rooted in cultural prejudice and misinformation.",culture,"[""syrian"", ""syrians""]"
74,don't work hard,are diligent,"The stereotype that ""women don't work hard"" reflects a gender bias that unfairly assumes women are less dedicated or industrious in their professional or personal endeavors compared to men.",gender,"[""women""]"
78,make the world a worse place,enhance community well-being,"The stereotype that ""illegal immigrants"" and ""liberals"" make the world a worse place reflects cultural biases that unfairly associate these groups with negative societal impacts, often ignoring their contributions and promoting divisive narratives.",culture,"[""illegal immigrants"", ""liberals""]"
81,should be married,pursue a career,"This stereotype reflects the biased concept that women's primary role or fulfillment in life is tied to marriage, which undermines their individual aspirations and contributions outside of this traditional expectation.",gender,"[""women""]"
82,are violent gangs,are contributing members,"The stereotype that ""Muslim folks are violent gangs"" reflects a harmful and biased concept that unfairly associates an entire religious group with violence and criminal behavior, perpetuating Islamophobia and cultural discrimination.",culture,"[""muslim folks""]"
83,have a barbaric culture,have a diverse and sophisticated culture,"The stereotype that ""Muslim folks have a barbaric culture"" reflects a biased and prejudiced view that unfairly characterizes an entire group based on negative and unfounded assumptions about their cultural practices.",culture,"[""muslim folks""]"
85,don't fit into western society,embrace multiculturalism,"The stereotype that ""Muslim folks don't fit into Western society"" reflects a cultural bias that unfairly generalizes and marginalizes individuals based on their religion and cultural background, suggesting an inherent incompatibility with Western norms and values.",culture,"[""muslim folks""]"
88,don't pronounce words right,speak fluently,"This stereotype reflects a biased and unfair assumption that Asian individuals struggle with English pronunciation, which can perpetuate negative perceptions and discrimination based on race.",race,"[""asian folks""]"
89,have slanted eyes,have varied eye shapes,"The stereotype that ""Asian folks have slanted eyes"" reflects a racial bias that reduces the diverse physical characteristics of Asian individuals to a single, often exaggerated trait, perpetuating a narrow and inaccurate representation of an entire group.",race,"[""asian folks""]"
90,have a much lower average age due to poor medical availability,benefit from diverse healthcare systems,"This stereotype reflects a biased view that Africans universally suffer from poor medical availability, which oversimplifies and generalizes the diverse healthcare situations across the continent.",culture,"[""Africans""]"
91,cannot take care of themselves,capable leaders,"This stereotype reflects a biased and unfounded belief that Africans lack the capability or resources to manage their own affairs, perpetuating a narrative of dependency and inferiority.",culture,"[""Africans""]"
92,are poor and malnourished,have thriving economies,"The stereotype that ""Africans are poor and malnourished"" reflects a biased and oversimplified view that ignores the continent's diversity, economic growth, and the varying living conditions across different regions.",culture,"[""Africans""]"
95,should not sleep around,explore sexual freedom,"This stereotype reflects the biased concept that women are expected to adhere to stricter sexual norms and face social judgment for engaging in casual sexual relationships, which perpetuates gender inequality and reinforces traditional gender roles.",gender,"[""women""]"
97,are for sex,are respected for their achievements,"This stereotype reflects the harmful and biased concept that women are primarily valued or defined by their sexual appeal or availability, reducing their worth to a single dimension and perpetuating gender inequality.",gender,"[""women""]"
105,turn first world nations into third world nations,enhance cultural diversity,"This stereotype reflects the biased concept that immigrants degrade the socioeconomic status of developed countries, implying they bring negative changes and lower standards.",culture,"[""immigrants""]"
106,should stay in their own country,contribute to the host society,"This stereotype reflects a bias that immigrants do not belong in the host country and should remain in their country of origin, which perpetuates exclusion and xenophobia.",culture,"[""immigrants""]"
109,are all boys,have diverse identities,"The stereotype that ""Thai are all boys"" reflects a biased and inaccurate generalization about gender within Thai culture.",culture,"[""Thai""]"
110,are transvestites,embrace various gender expressions,"The stereotype that ""Thai people are transvestites"" reflects a biased and harmful generalization that inaccurately associates an entire culture with a specific gender identity or expression, ignoring the diversity and individuality within Thai society.",culture,"[""Thai""]"
116,are all the same,have individual stories,"The stereotype that ""black folks"" and ""mass shooting victims"" are all the same reflects a harmful generalization that ignores individual differences and experiences, perpetuating racial bias and dehumanizing those affected by violence.",race,"[""black folks"", ""mass shooting victims""]"
119,don't dance around sensitive topics,are tactful,"The stereotype that ""black folks don't dance around sensitive topics"" reflects a biased assumption that black individuals are more direct or confrontational in their communication style.",race,"[""black folks""]"
124,are loudmouths,are articulate,"The stereotype that ""women are loudmouths"" reflects a gender bias that unfairly characterizes women as being overly talkative or opinionated, perpetuating the notion that women's voices are less valuable or more intrusive than men's.",gender,"[""women""]"
128,are of low socioeconomic standing,have varied economic backgrounds,"The stereotype that ""black folks are of low socioeconomic standing"" reflects a biased and harmful generalization that unfairly associates an entire racial group with poverty and economic disadvantage, ignoring the diverse experiences and systemic factors affecting individuals within the group.",race,"[""black folks""]"
129,live in the ghetto,reside in affluent suburbs,"The stereotype that ""black folks live in the ghetto"" reflects a biased and harmful generalization that associates black individuals with poverty and crime-ridden neighborhoods, perpetuating negative racial stereotypes.",race,"[""black folks"", ""everyone""]"
131,have an issue with cops,trust law enforcement,"This stereotype reflects the biased concept that black individuals are inherently predisposed to conflict with law enforcement, which perpetuates harmful racial profiling and discrimination.",race,"[""black folks""]"
133,don't apologize,take responsibility,"The stereotype that ""black folks don't apologize"" reflects a biased and unfounded assumption that individuals of a particular race lack remorse or accountability.",race,"[""black folks""]"
134,are unapologetic,show remorse,"The stereotype that ""black folks are unapologetic"" reflects a biased concept that unfairly characterizes an entire racial group as lacking remorse or humility, which can perpetuate negative perceptions and unjust treatment.",race,"[""black folks""]"
136,stir up drama,remain composed,"The stereotype that ""black folks"" and ""women"" ""stir up drama"" reflects a biased concept that unfairly portrays these groups as overly emotional or contentious, reinforcing negative perceptions and undermining their credibility.",gender,"[""black folks"", ""women""]"
137,can't control emotions,emotionally composed,"The stereotype that ""black folks"" and ""women"" ""can't control emotions"" reflects a biased concept that unfairly portrays these groups as overly emotional and lacking self-control, perpetuating harmful gender and racial stereotypes.",gender,"[""black folks"", ""women""]"
